Date,Time,Pressure_In,Flow_Rate,Temperature
2026-05-15,17:24:04,18.3,22.4,55.0
2026-05-15,17:24:28,18.3,22.4,55.0
2026-05-15,17:24:48,18.3,22.4,55.0
2026-05-15,17:26:58,18.3,22.4,55.0
2026-05-15,17:27:09,18.3,22.4,55.0
2026-05-15,17:27:12,18.3,22.4,55.0
2026-05-15,17:28:32,18.3,22.4,55.0
2026-05-15,17:28:37,18.3,22.4,55.0
2026-05-15,17:28:44,18.3,22.4,55.0
2026-05-15,17:29:05,18.3,22.4,55.0
2026-05-15,17:29:40,18.3,22.4,55.0
2026-05-18,05:54:22,18.3,22.4,55.0
2026-05-18,05:55:45,18.3,22.4,55.0
2026-05-18,05:55:54,18.3,22.4,55.0
2026-05-18,05:56:00,18.3,22.4,55.0
2026-05-18,05:56:38,18.3,22.4,55.0
2026-05-18,05:57:07,18.3,22.4,55.0
2026-05-18,05:57:25,18.3,22.4,55.0
2026-05-18,05:58:27,18.3,22.4,55.0
2026-05-18,05:59:20,18.3,22.4,55.0
2026-05-18,05:59:43,18.3,22.4,55.0
2026-05-18,06:00:23,18.3,22.4,55.0
2026-05-18,06:00:37,18.3,22.4,55.0
2026-05-18,06:02:09,18.3,22.4,55.0
2026-05-18,06:02:47,18.3,22.4,55.0
2026-05-18,06:04:23,18.3,22.4,55.0
2026-05-18,06:05:29,18.3,22.4,55.0
2026-05-18,06:05:55,18.3,22.4,55.0
2026-05-18,06:09:45,18.3,22.4,55.0
2026-05-18,06:18:02,18.3,22.4,55.0
2026-05-18,06:19:27,18.3,22.4,55.0
2026-05-18,06:21:26,18.3,22.4,55.0
2026-05-18,06:21:35,18.3,22.4,55.0
2026-05-18,06:21:45,18.3,22.4,55.0
2026-05-18,06:21:49,18.3,22.4,55.0
2026-05-18,06:31:53,18.3,22.4,55.0
2026-05-18,06:37:01,18.3,22.4,55.0
2026-05-18,06:37:41,18.3,22.4,55.0
2026-05-18,06:39:43,18.3,22.4,55.0
2026-05-18,06:40:24,18.3,22.4,55.0
2026-05-18,06:44:58,18.3,22.4,55.0
2026-05-18,06:50:43,18.3,22.4,55.0
2026-05-18,06:52:03,18.3,22.4,55.0
2026-05-18,07:03:53,18.3,22.4,55.0
2026-05-18,07:04:09,18.3,22.4,55.0
2026-05-18,07:41:11,18.3,22.4,55.0
2026-05-18,07:42:10,18.3,22.4,55.0
2026-05-18,07:42:10,18.3,22.4,55.0
2026-05-18,07:42:15,18.3,22.4,55.0
2026-05-18,07:42:24,18.3,22.4,55.0
2026-05-18,07:42:41,18.3,22.4,55.0
2026-05-18,07:42:55,18.3,22.4,55.0
2026-05-18,07:44:41,18.3,22.4,55.0
2026-05-18,07:45:11,18.3,22.4,55.0
2026-05-18,07:45:23,18.3,22.4,55.0
2026-05-18,07:47:18,18.3,22.4,55.0
2026-05-18,07:47:28,18.3,22.4,55.0
2026-05-18,07:51:15,18.3,22.4,55.0
2026-05-18,07:51:38,18.3,22.4,55.0
2026-05-18,07:51:42,18.3,22.4,55.0
2026-05-18,07:51:49,18.3,22.4,55.0
2026-05-18,07:51:53,18.3,22.4,55.0
2026-05-18,07:51:58,18.3,22.4,55.0
2026-05-18,07:52:01,18.3,22.4,55.0
2026-05-18,07:52:21,18.3,22.4,55.0
2026-05-18,07:52:28,18.3,22.4,55.0
2026-05-18,08:03:59,18.3,22.4,55.0
2026-05-18,08:04:12,18.3,22.4,55.0
2026-05-18,08:04:12,18.3,22.4,55.0
2026-05-18,08:04:17,18.3,22.4,55.0
2026-05-18,08:05:50,18.3,22.4,55.0
2026-05-18,08:05:55,18.3,22.4,55.0
2026-05-18,08:07:35,18.3,22.4,55.0
2026-05-18,08:07:45,18.3,22.4,55.0
2026-05-18,08:09:43,18.3,22.4,55.0
2026-05-18,08:09:47,18.3,22.4,55.0
2026-05-18,08:15:18,18.3,22.4,55.0
2026-05-18,08:15:23,18.3,22.4,55.0
2026-05-18,08:16:38,18.3,22.4,55.0
2026-05-18,08:56:25,18.3,22.4,55.0
2026-05-18,08:56:38,18.3,22.4,55.0
2026-05-18,08:57:41,18.3,22.4,55.0
2026-05-18,09:01:33,18.3,22.4,55.0
2026-05-18,09:09:48,18.3,22.4,55.0
2026-05-18,09:10:29,18.3,22.4,55.0
2026-05-18,09:12:14,18.3,22.4,55.0
2026-05-18,09:14:13,18.3,22.4,55.0
2026-05-18,09:16:47,18.3,22.4,55.0
2026-05-18,09:17:30,18.3,22.4,55.0
2026-05-18,09:17:48,18.3,22.4,55.0
2026-05-18,09:19:31,18.3,22.4,55.0
2026-05-18,09:22:01,18.3,22.4,55.0
2026-05-18,09:27:06,18.3,22.4,55.0
2026-05-18,09:46:13,18.3,22.4,55.0
2026-05-18,09:52:03,18.3,22.4,55.0
2026-05-18,09:53:25,18.3,22.4,55.0
2026-05-18,09:54:43,18.3,22.4,55.0
2026-05-18,10:10:37,18.3,22.4,55.0
2026-05-18,10:10:55,18.3,22.4,55.0
2026-05-18,10:11:58,18.3,22.4,55.0
2026-05-18,10:13:52,18.3,22.4,55.0
2026-05-18,10:19:06,18.3,22.4,55.0
2026-05-18,10:19:34,18.3,22.4,55.0
2026-05-18,10:23:18,18.3,22.4,55.0
2026-05-18,10:24:31,18.3,22.4,55.0
2026-05-18,10:25:59,18.3,22.4,55.0
2026-05-18,10:28:00,18.3,22.4,55.0
2026-05-18,10:29:04,18.3,22.4,55.0
2026-05-18,10:31:03,18.3,22.4,55.0
2026-05-18,10:31:26,18.3,22.4,55.0
2026-05-18,10:41:37,18.3,22.4,55.0
2026-05-18,10:43:28,18.3,22.4,55.0
2026-05-18,10:44:10,18.3,22.4,55.0
2026-05-18,10:45:14,18.3,22.4,55.0
2026-05-18,11:18:43,18.3,22.4,55.0
2026-05-18,11:19:01,18.3,22.4,55.0
2026-05-18,11:19:06,18.3,22.4,55.0
2026-05-18,11:19:16,18.3,22.4,55.0
2026-05-18,11:19:51,18.3,22.4,55.0
2026-05-18,11:20:22,18.3,22.4,55.0
2026-05-18,11:21:16,18.3,22.4,55.0
2026-05-18,11:22:25,18.3,22.4,55.0
2026-05-18,11:22:30,18.3,22.4,55.0
2026-05-18,11:22:36,18.3,22.4,55.0
2026-05-18,11:22:41,18.3,22.4,55.0
2026-05-18,11:22:46,18.3,22.4,55.0
2026-05-18,11:22:51,18.3,22.4,55.0
2026-05-18,11:22:56,18.3,22.4,55.0
2026-05-18,11:23:01,18.3,22.4,55.0
2026-05-18,11:23:07,18.3,22.4,55.0
2026-05-18,11:23:12,18.3,22.4,55.0
2026-05-18,11:23:17,18.3,22.4,55.0
2026-05-18,11:23:22,18.3,22.4,55.0
2026-05-18,11:23:27,18.3,22.4,55.0
2026-05-18,11:23:32,18.3,22.4,55.0
2026-05-18,11:23:38,18.3,22.4,55.0
2026-05-18,11:23:43,18.3,22.4,55.0
2026-05-18,11:23:48,18.3,22.4,55.0
2026-05-18,11:23:53,18.3,22.4,55.0
2026-05-18,11:23:58,18.3,22.4,55.0
2026-05-18,11:24:03,18.3,22.4,55.0
2026-05-18,11:24:09,18.3,22.4,55.0
2026-05-18,11:24:14,18.3,22.4,55.0
2026-05-18,11:24:19,18.3,22.4,55.0
2026-05-18,11:24:24,18.3,22.4,55.0
2026-05-18,11:24:29,18.3,22.4,55.0
2026-05-18,11:24:35,18.3,22.4,55.0
2026-05-18,11:24:40,18.3,22.4,55.0
2026-05-18,11:24:45,18.3,22.4,55.0
2026-05-18,11:24:50,18.3,22.4,55.0
2026-05-18,11:24:55,18.3,22.4,55.0
2026-05-18,11:25:01,18.3,22.4,55.0
2026-05-18,11:25:06,18.3,22.4,55.0
2026-05-18,11:25:11,18.3,22.4,55.0
2026-05-18,11:25:16,18.3,22.4,55.0
2026-05-18,11:25:21,18.3,22.4,55.0
2026-05-18,11:25:27,18.3,22.4,55.0
2026-05-18,11:25:32,18.3,22.4,55.0
2026-05-18,11:25:37,18.3,22.4,55.0
2026-05-18,11:25:42,18.3,22.4,55.0
2026-05-18,11:25:47,18.3,22.4,55.0
2026-05-18,11:25:53,18.3,22.4,55.0
2026-05-18,11:27:53,18.3,22.4,55.0
2026-05-18,11:28:11,18.3,22.4,55.0
2026-05-18,17:30:47,18.3,22.4,55.0
2026-05-18,17:31:35,18.3,22.4,55.0
2026-05-18,17:32:13,18.3,22.4,55.0
2026-05-18,17:33:19,18.3,22.4,55.0
2026-05-18,17:33:29,18.3,22.4,55.0
2026-05-18,17:34:18,18.3,22.4,55.0
2026-05-18,17:34:25,18.3,22.4,55.0
2026-05-18,17:34:39,18.3,22.4,55.0
2026-05-18,17:34:47,18.3,22.4,55.0
2026-05-18,17:35:26,18.3,22.4,55.0
2026-05-18,17:36:52,18.3,22.4,55.0
2026-05-18,17:37:05,18.3,22.4,55.0
2026-05-18,17:37:11,18.3,22.4,55.0
2026-05-18,17:37:29,18.3,22.4,55.0
2026-05-18,17:37:35,18.3,22.4,55.0
2026-05-18,17:41:33,18.3,22.4,55.0
2026-05-18,17:41:42,18.3,22.4,55.0
2026-05-18,17:42:25,18.3,22.4,55.0
2026-05-18,17:44:15,18.3,22.4,55.0
2026-05-18,17:45:16,18.3,22.4,55.0
2026-05-18,17:46:03,18.3,22.4,55.0
2026-05-18,17:46:17,18.3,22.4,55.0
2026-05-18,17:46:21,18.3,22.4,55.0
2026-05-18,17:46:34,18.3,22.4,55.0
2026-05-18,17:53:03,18.3,22.4,55.0
2026-05-18,17:53:44,18.3,22.4,55.0
2026-05-18,17:54:16,18.3,22.4,55.0
2026-05-18,18:00:33,18.3,22.4,55.0
2026-05-18,18:06:39,18.3,22.4,55.0
2026-05-18,18:12:01,18.3,22.4,55.0
2026-05-18,18:12:45,18.3,22.4,55.0
2026-05-18,18:20:20,18.3,22.4,55.0
2026-05-18,18:21:52,18.3,22.4,55.0
2026-05-18,18:22:09,18.3,22.4,55.0
2026-05-18,18:22:13,18.3,22.4,55.0
2026-05-18,18:22:17,18.3,22.4,55.0
2026-05-18,18:22:25,18.3,22.4,55.0
2026-05-18,18:24:27,18.3,22.4,55.0
2026-05-18,18:26:04,18.3,22.4,55.0
2026-05-18,18:26:19,18.3,22.4,55.0
2026-05-18,18:27:22,18.3,22.4,55.0
2026-05-18,18:27:29,18.3,22.4,55.0
2026-05-18,18:27:35,18.3,22.4,55.0
2026-05-18,18:31:04,18.3,22.4,55.0
2026-05-18,18:33:42,18.3,22.4,55.0
2026-05-19,14:32:20,18.3,22.4,55.0
2026-05-19,14:32:26,18.3,22.4,55.0
2026-05-19,14:33:33,18.3,22.4,55.0
2026-05-19,14:34:12,18.3,22.4,55.0
2026-05-19,14:34:41,18.3,22.4,55.0
2026-05-19,14:34:54,18.3,22.4,55.0
2026-05-19,14:36:04,18.3,22.4,55.0
2026-05-19,14:36:11,18.3,22.4,55.0
2026-05-19,14:36:17,18.3,22.4,55.0
2026-05-19,14:36:23,18.3,22.4,55.0
2026-05-19,14:39:53,18.3,22.4,55.0
2026-05-19,14:42:58,18.3,22.4,55.0
2026-05-19,15:05:29,18.3,22.4,55.0
2026-05-19,15:05:36,18.3,22.4,55.0
2026-05-19,15:05:41,18.3,22.4,55.0
2026-05-19,15:05:56,18.3,22.4,55.0
2026-05-19,15:06:58,18.3,22.4,55.0
2026-05-19,15:08:37,18.3,22.4,55.0
2026-05-19,15:09:52,18.3,22.4,55.0
2026-05-19,15:12:22,18.3,22.4,55.0
2026-05-19,15:12:30,18.3,22.4,55.0
2026-05-19,15:12:55,18.3,22.4,55.0
2026-05-19,15:13:04,18.3,22.4,55.0
2026-05-19,15:14:22,18.3,22.4,55.0
2026-05-19,15:14:31,18.3,22.4,55.0
2026-05-19,15:14:44,18.3,22.4,55.0
2026-05-19,15:15:13,18.3,22.4,55.0
2026-05-19,15:16:50,18.3,22.4,55.0
2026-05-19,15:17:47,18.3,22.4,55.0
2026-05-19,15:18:12,18.3,22.4,55.0
2026-05-19,15:20:54,18.3,22.4,55.0
2026-05-19,15:22:12,18.3,22.4,55.0
2026-05-19,15:23:31,18.3,22.4,55.0
2026-05-19,15:26:11,18.3,22.4,55.0
2026-05-19,15:27:10,18.3,22.4,55.0
2026-05-19,15:28:21,18.3,22.4,55.0
2026-05-19,15:30:24,18.3,22.4,55.0
2026-05-19,15:31:03,18.3,22.4,55.0
2026-05-19,15:31:10,18.3,22.4,55.0
2026-05-19,15:40:17,18.3,22.4,55.0
2026-05-19,15:40:24,18.3,22.4,55.0
2026-05-19,15:43:01,18.3,22.4,55.0
2026-05-19,15:43:53,18.3,22.4,55.0
2026-05-19,15:45:18,18.3,22.4,55.0
2026-05-19,15:45:24,18.3,22.4,55.0
2026-05-19,15:45:29,18.3,22.4,55.0
2026-05-19,15:46:04,18.3,22.4,55.0
2026-05-19,15:46:13,18.3,22.4,55.0
2026-05-19,15:46:30,18.3,22.4,55.0
