Date,Time,Temperature,Vibration,Current_P_R,Current_P_S,Current_P_T,Volt_P_R,Volt_P_S,Volt_P_T
2026-05-15,17:26:58,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-15,17:27:09,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-15,17:27:12,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-15,17:28:32,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-15,17:28:37,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-15,17:28:44,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-15,17:29:05,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-15,17:29:40,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,05:54:22,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,05:55:45,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,05:55:54,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,05:56:00,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,05:56:38,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,05:57:07,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,05:57:25,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,05:58:27,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,05:59:20,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,05:59:43,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,06:00:23,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,06:00:37,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,06:02:09,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,06:02:47,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,06:04:23,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,06:05:29,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,06:05:55,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,06:09:45,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,06:18:02,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,06:19:27,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,06:21:26,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,06:21:35,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,06:21:45,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,06:21:49,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,06:31:53,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,06:37:01,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,06:37:41,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,06:39:43,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,06:40:24,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,06:44:58,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,06:50:43,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,06:52:03,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
